Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-2428.666	-2505.278	76.61146	0.8935961	4.306995
6	-2434.393	-2512.099	77.70671	0.9434484	3.651955
12	-2430.683	-2508.934	78.25046	1.031243	3.282916
18	-2431.347	-2509.047	77.69992	1.051967	3.592948
24	-2431.247	-2509.051	77.80408	0.9478053	3.592948
30	-2438.529	-2514.892	76.36264	0.8705517	4.460431
36	-2434.946	-2511.276	76.33023	0.9029607	4.460431
42	-2436.785	-2514.737	77.95189	0.8809347	3.545883
48	-2438.743	-2514.755	76.01218	0.8844096	4.649488
54	-2440.564	-2517.849	77.28556	0.7582732	4.000723
60	-2430.642	-2506.244	75.60254	0.7582732	4.948546
66	-2434.87	-2511.494	76.62389	0.7164693	4.400028
72	-2434.108	-2510.578	76.46982	0.8912552	4.388343
78	-2441.428	-2517.887	76.4591	0.8350239	4.426102
84	-2440.159	-2517.495	77.33658	0.9030234	3.888628
90	-2425.02	-2500.823	75.8029	0.7540656	4.839304
96	-2425.425	-2501.968	76.54369	0.9514975	4.312575
102	-2424.385	-2501.098	76.71264	0.6664177	4.378193
108	-2421.087	-2498.532	77.44564	0.9029086	3.826045
114	-2423.774	-2500.45	76.67652	0.8051416	4.320225
120	-2429.879	-2506.162	76.28295	0.7042557	4.598685
126	-2435.847	-2510.793	74.94619	0.7343439	5.325377
132	-2429.601	-2505.185	75.58438	0.6139204	5.038841
138	-2429.014	-2504.366	75.35123	0.8470666	5.038841
144	-2439.487	-2515.678	76.19095	1.02456	4.470385
150	-2443.098	-2519.513	76.4154	0.8001141	4.470385
156	-2432.078	-2508.921	76.84354	0.7851253	4.236998
162	-2431.946	-2509.468	77.52201	0.9384277	3.76161
168	-2432.386	-2508.893	76.50711	0.830036	4.401844
174	-2442.265	-2518.45	76.18479	0.8459439	4.574257
180	-2431.524	-2507.608	76.08433	0.8381665	4.63497
186	-2430.793	-2507.898	77.10491	0.8035527	4.077973
