Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
636	-2436.147	-2513.912	77.76449	1.046307	3.558702
642	-2427.113	-2502.939	75.82614	0.665029	4.875978
648	-2430.274	-2507.462	77.18718	0.7170573	4.08038
654	-2427.1	-2503.284	76.18375	0.7097147	4.65124
660	-2427.624	-2504.203	76.57887	0.8616918	4.34346
666	-2431.281	-2508.121	76.83974	0.9205841	4.162269
672	-2438.326	-2514.699	76.37292	0.9970634	4.383312
678	-2435.85	-2513.63	77.77987	0.9796927	3.588485
684	-2434.033	-2511.234	77.20157	0.9050709	3.964813
690	-2431.77	-2508.558	76.78788	0.9857136	4.154732
696	-2432.437	-2510.313	77.87626	1.073151	3.477917
702	-2436.262	-2514.095	77.83383	0.8987398	3.604164
708	-2438.743	-2516.529	77.78586	0.8758954	3.645235
714	-2433.096	-2509.15	76.05452	0.8694118	4.634166
720	-2433.236	-2510.391	77.15474	0.8666208	4.01356
726	-2438.957	-2516.277	77.31966	1.066575	3.804361
732	-2436.997	-2513.666	76.66933	0.7782459	4.339494
738	-2429.858	-2506.476	76.61858	0.8289984	4.339494
744	-2429.916	-2505.494	75.57818	0.6886677	5.000776
750	-2425.087	-2500.756	75.66873	0.8898733	4.838395
756	-2429.343	-2506.625	77.28187	0.9064933	3.918015
762	-2426.176	-2501.568	75.3922	0.7573644	5.065888
768	-2427.354	-2504.9	77.54602	0.7372955	3.863539
774	-2427.513	-2504.713	77.19957	0.7907653	4.031277
780	-2423.843	-2499.589	75.7464	0.7747936	4.859246
786	-2436.349	-2512.089	75.7392	0.7747936	4.863263
792	-2432.519	-2508.23	75.71102	0.8029724	4.863263
798	-2439.787	-2515.64	75.85308	0.8249721	4.771734
804	-2436.12	-2513.159	77.03884	0.837105	4.096495
810	-2429.57	-2505.663	76.09276	0.7684201	4.669317
816	-2440.609	-2516.007	75.39752	0.6232883	5.137257
822	-2436.218	-2514.346	78.12786	0.9387143	3.409384
828	-2426.267	-2503.694	77.42659	0.8101044	3.890299
834	-2424.309	-2500.846	76.53746	0.8555006	4.370345
840	-2433.765	-2510.974	77.20971	0.8986758	3.963814
846	-2438.347	-2516.489	78.14248	0.9512883	3.39344
852	-2433.465	-2510.711	77.24626	0.9270611	3.926633
858	-2437.714	-2513.855	76.14108	0.9585229	4.535577
864	-2435.123	-2513.021	77.89781	0.9428967	3.541295
870	-2428.143	-2505.829	77.68655	0.8260651	3.731502
876	-2431.519	-2509.061	77.54135	0.8451321	3.804216
882	-2439.361	-2515.879	76.51805	0.8424556	4.38866
888	-2439.928	-2516.907	76.97917	0.7206141	4.196657
894	-2430.257	-2507.012	76.75466	0.7136083	4.327797
900	-2423.092	-2499.657	76.56428	0.7926305	4.390693
906	-2422.167	-2498.573	76.40556	0.7830119	4.485546
912	-2425.492	-2501.881	76.38973	0.7502586	4.512874
918	-2423.795	-2499.123	75.32745	0.758993	5.100891
924	-2425.381	-2501.887	76.50582	0.7719043	4.435343
930	-2425.68	-2503.217	77.53673	0.9118076	3.768466
936	-2432.72	-2510.048	77.328	0.9676806	3.856436
942	-2428.156	-2504.295	76.1394	0.8167659	4.616097
948	-2426.432	-2503.462	77.03074	0.7412882	4.155621
954	-2432.425	-2509.242	76.81777	0.9269024	4.171167
960	-2431.539	-2508.414	76.87485	0.8698228	4.171167
966	-2442.574	-2519.726	77.15229	0.7772698	4.065948
972	-2432.758	-2508.758	76.00064	0.7847825	4.711719
978	-2427.111	-2504.508	77.39746	0.7955325	3.915359
984	-2424.906	-2502.058	77.15274	0.825775	4.038022
990	-2430.22	-2507.139	76.91929	0.7558824	4.210622
996	-2441.696	-2520.201	78.50549	0.8926321	3.214116
1002	-2432.417	-2508.487	76.07063	0.920373	4.596558
1008	-2429.199	-2506.671	77.47279	0.9191553	3.801071
1014	-2429.922	-2507.201	77.27839	0.8470323	3.954065
1020	-2429.918	-2506.025	76.1074	0.8464113	4.617417
1026	-2427.221	-2504.706	77.48454	0.8068134	3.858918
1032	-2432.123	-2508.421	76.29868	0.7381072	4.570858
1038	-2439.908	-2516.782	76.87394	0.9840385	4.106725
1044	-2437.566	-2514.509	76.94304	0.9149451	4.106725
1050	-2435.203	-2510.894	75.69097	0.7138697	4.924051
1056	-2430.976	-2506.593	75.61759	0.819905	4.905874
1062	-2435.231	-2511.4	76.16922	0.7909628	4.613841
1068	-2436.32	-2512.8	76.48039	0.7765399	4.447063
1074	-2435.323	-2512.123	76.80041	0.7255508	4.295166
1080	-2437.287	-2513.312	76.02541	0.7875886	4.696291
1086	-2438.842	-2515.934	77.09216	0.9500176	4.001668
1092	-2426.1	-2502.827	76.72662	0.7438625	4.326546
1098	-2431.313	-2507.609	76.29619	0.7492382	4.566009
1104	-2431.158	-2508.657	77.49945	0.8239558	3.840501
1110	-2433.623	-2509.832	76.20907	0.8216255	4.574279
1116	-2423.629	-2499.704	76.07443	0.700214	4.717746
1122	-2429.623	-2506.976	77.35327	0.9587587	3.847042
1128	-2434.899	-2511.662	76.76283	0.8535202	4.24398
1134	-2439.922	-2516.6	76.67857	0.7160802	4.369388
1140	-2432.927	-2510.075	77.14788	0.9141111	3.990349
1146	-2432.595	-2508.652	76.05714	1.000777	4.558996
1152	-2424.161	-2501.278	77.11637	0.9380403	3.994678
1158	-2428.913	-2506.176	77.2626	0.7918109	3.994678
1164	-2423.44	-2500.605	77.1647	0.729644	4.086017
1170	-2439.024	-2514.197	75.173	0.7635348	5.183914
1176	-2440.135	-2515.54	75.40498	0.7730816	5.050076
1182	-2426.561	-2503.084	76.52315	0.7730816	4.424912
1188	-2432.176	-2508.644	76.46815	0.8280826	4.424912
1194	-2430.348	-2506.951	76.60264	0.7816381	4.375245
1200	-2428.604	-2505.728	77.12425	0.8860581	4.019877
1206	-2433.688	-2511.747	78.05803	0.9622083	3.436514
1212	-2419.553	-2496.917	77.364	0.9412213	3.850956
1218	-2425.358	-2502.408	77.0496	0.7179596	4.158157
1224	-2426.397	-2502.174	75.7768	0.8404673	4.80567
1230	-2425.137	-2503.084	77.947	0.8484769	3.567615
1236	-2431.658	-2509.401	77.74215	1.047704	3.570883
1242	-2432.123	-2508.502	76.37895	0.7207261	4.535539
1248	-2434.686	-2511.673	76.98664	1.007146	4.029307
1254	-2437.612	-2513.206	75.594	0.6653828	5.004925
1260	-2432.794	-2508.641	75.84675	0.5453638	4.931132
1266	-2432.522	-2509.674	77.15259	0.849198	4.02474
1272	-2437.432	-2514.862	77.42948	0.9617097	3.80151
1278	-2435.416	-2512.842	77.42544	0.9647423	3.802086
1284	-2433.363	-2509.633	76.27053	0.8087921	4.546973
1290	-2433.284	-2509.653	76.36972	0.7179758	4.542271
1296	-2432.172	-2508.593	76.42086	0.6668265	4.542271
1302	-2428.517	-2504.868	76.35087	0.736819	4.542271
1308	-2424.447	-2501.87	77.42264	0.7235327	3.942187
1314	-2430.415	-2506.482	76.06668	0.7947623	4.669171
1320	-2435.93	-2513.24	77.31025	0.9060122	3.902022
1326	-2435.791	-2513.061	77.26968	0.883945	3.937918
1332	-2431.745	-2508.957	77.21223	0.8333177	3.999747
1338	-2433.739	-2510.175	76.43661	0.9393734	4.37993
1344	-2421.325	-2498.307	76.98126	0.9161094	4.084294
1350	-2429.072	-2506.277	77.2051	0.6922636	4.084294
1356	-2425.988	-2502.299	76.31135	0.7689161	4.546443
1362	-2426.103	-2501.531	75.42746	0.7689161	5.039908
1368	-2426.237	-2503.806	77.56883	0.8346813	3.794411
1374	-2427.853	-2505.336	77.48288	0.8839025	3.815558
1380	-2430.772	-2508.126	77.35446	1.012323	3.815558
1386	-2436.16	-2512.905	76.74469	1.131	4.096642
1392	-2431.006	-2508.582	77.57608	0.9470837	3.725409
1398	-2432.904	-2509.627	76.72302	0.7437147	4.328667
1404	-2434.835	-2511.563	76.72803	0.9757189	4.194406
1410	-2439.787	-2516.524	76.73636	0.8645504	4.25273
1416	-2442.824	-2518.417	75.59214	0.8651112	4.894871
1422	-2439.548	-2516.344	76.79558	0.7085733	4.307509
1428	-2435.539	-2510.881	75.34144	0.6745327	5.139939
1434	-2434.984	-2511.2	76.21669	0.9094516	4.520661
1440	-2426.544	-2503.05	76.50665	0.7206316	4.463759
1446	-2434.612	-2511.588	76.97629	0.7271343	4.194591
1452	-2433.435	-2509.66	76.22438	0.78657	4.585361
1458	-2432.985	-2509.171	76.18645	0.7380905	4.633824
1464	-2434.914	-2510.846	75.93139	0.584595	4.862149
1470	-2427.076	-2502.819	75.74326	0.8260102	4.832442
1476	-2429.15	-2506.094	76.94418	0.8766297	4.127881
1482	-2437.422	-2512.923	75.50103	0.7820354	4.991767
1488	-2430.906	-2506.308	75.40239	0.9111135	4.97485
1494	-2426.793	-2503.485	76.69221	0.8383618	4.292558
1500	-2430.482	-2507.314	76.83214	0.8537062	4.204566
1506	-2433.884	-2511.003	77.11894	0.9645856	3.978036
1512	-2429.973	-2507.14	77.16745	0.9160771	3.978036
1518	-2428.358	-2505.611	77.25318	0.8144882	3.987103
1524	-2430.035	-2506.453	76.4183	0.7886641	4.475199
1530	-2428.211	-2504.9	76.68847	0.8150406	4.307872
1536	-2433.738	-2510.714	76.97624	0.8740922	4.111079
1542	-2429.385	-2505.612	76.22688	0.7729966	4.591576
1548	-2431.167	-2508.14	76.97285	0.6555667	4.237137
1554	-2426.17	-2501.679	75.50853	0.7825881	4.987292
1560	-2433	-2509.049	76.04903	0.8046138	4.673538
1566	-2431.167	-2507.316	76.14848	0.8384753	4.598824
1572	-2436.005	-2512.803	76.79805	0.8565105	4.222313
1578	-2432.235	-2509.641	77.40542	0.8065854	3.904458
1584	-2433.721	-2512.132	78.41155	0.9825076	3.216527
1590	-2430.675	-2506.892	76.21664	0.7360419	4.61805
1596	-2434.675	-2509.781	75.1062	0.6537187	5.281553
1602	-2434.727	-2511.163	76.43549	0.7539155	4.485077
1608	-2426.548	-2503.838	77.28956	0.9012755	3.916595
1614	-2434.763	-2510.031	75.26799	0.8859915	5.063433
1620	-2432.75	-2508.686	75.9365	0.8791135	4.694825
1626	-2437.47	-2514.444	76.97416	0.9199968	4.086124
1632	-2430.253	-2507.679	77.42649	1.002853	3.779531
1638	-2439.239	-2516.544	77.30492	0.9131077	3.901005
1644	-2432.376	-2508.982	76.60548	0.8086625	4.358384
1650	-2436.251	-2513.742	77.49089	0.7942695	3.862476
